Low Cost Endowment,Policy Holder,15112
Low Cost Endowment,Life Assured,15053
Retirement account (FSAVC) without indexation option,Annuitant,14921
Low Cost Endowment With Profits,Policy Holder,13641
Foundation,Life Assured,13477
Foundation,Policy Holder,13477
Lifetime Account - Investment,Policy Holder,13422
Joint life lifetime account policy with indexation option,Life Assured,13321
Family Inc Benefit,Policy Holder,13229
Guaranteed income bond 90%,Life Assured,12959
Lifetime Account - Life Cover,Life Assured,12756
Family Inc Benefit,Life Assured,12671
Lifetime Account Plus - Life Cover,Policy Holder,12250
Family Income Benefit + CIC,Life Assured,12228
FPB Index-Related,Life Assured,12228
FPB Index-Related,Policy Holder,12222
Family Income Benefit + CIC,Policy Holder,12222
Critical Ill. WOL,Policy Holder,12067
Personal pension regular premium,Beneficiary,12011
Critical Ill. WOL,Life Assured,11704
Capital Invest. Bond,Life Assured,11461
Indexed Linked Individual PHI,Policy Holder,11338
Indexed Linked Individual PHI,Life Assured,11338
Joint life endowment policy with profits,Policy Holder,11277
Capital Invest. Bond,Policy Holder,11235
Stocks and Shares ISA (Direct First),Policy Holder,10967
Stocks and Shares ISA (Direct First),Life Assured,10967
With profit regular premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Policy Holder,10926
Medical Career Protector,Life Assured,10687
Medical Career Protector,Policy Holder,10687
Group Scheme - Current Cost Scheme Growth Benefit,Policy Holder,10393
Personal Income Protection Plan,Payer,10240
Personal Income Protection Plan,Policy Holder,10240
Personal Income Protection Plan,Original Selling Agent,10240
Personal Income Protection Plan,Servicing Agent,10240
Personal Income Protection Plan,Sales Income Agent,10240
Personal Income Protection Plan,Life Assured,10240
Joint life endowment policy with profits,Payer,9934
Lifetime Account Plus - Life Cover,Life Assured,9776
Whole of Life,Policy Holder,9482
Retirement account (FSAVC) without indexation option,Policy Holder,9429
Joint life lifetime account policy without indexation option,Life Assured,9207
Midas Bond,Life Assured,9206
Whole of Life,Life Assured,9090
Dental Career Protector,Life Assured,9081
Dental Career Protector,Policy Holder,9081
Single life midas bond policy,Policy Holder,9003
Wesleyan Capital Investment Bond,Life Assured,8984
Retirement Account - FSAVC,Policy Holder,8913
Single life midas bond policy,Payer,8895
Retirement Account - FSAVC,Life Assured,8870
Lifetime Account - Life Cover,Policy Holder,8844
Wesleyan Capital Investment Bond,Policy Holder,8723
Single life lifetime account policy with indexation option,Payer,8716
Single life lifetime account policy with indexation option,Life Assured,8602
Single life lifetime account policy with indexation option,Policy Holder,8584
Personal Accident Motor,Policy Holder,8251
Single life midas bond policy,Life Assured,7803
Midas Bond,Policy Holder,7523
Newly Qualified Protector (No Options) 2001 proposed,Life Assured,7265
Newly Qualified Protector (No Options) 2001 proposed,Policy Holder,7265
Endowment Without Profit,Life Assured,7202
Personal Equity Plan,Policy Holder,7075
Joint life lifetime account policy with indexation option,Policy Holder,6993
Lifetime Account Plus/Addition,Policy Holder,6979
ISA,Policy Holder,6979
Joint life lifetime account policy with indexation option,Payer,6916
Wesleyan PPP,Policy Holder,6852
Wesleyan PPP,Life Assured,6852
PHI Increasing Benefit Option,Policy Holder,6757
PHI Increasing Benefit Option,Life Assured,6757
"Single life, low cost endowment",Payer,6753
Increasing Term,Policy Holder,6736
Lifetime Account Plus - CIC,Policy Holder,6723
"Single life, low cost endowment",Policy Holder,6692
Increasing Term,Life Assured,6665
Personal Equity Plan,Life Assured,6628
Vested Pension Single life,Life Assured,6586
Vested Pension Single life,Policy Holder,6469
"Single life, low cost endowment",Life Assured,6403
Retirement Account - APPS (Transfer In),Policy Holder,6375
Retirement Account - APPS (Transfer In),Life Assured,6341
Without profit single premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Policy Holder,6287
Without profit single premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Payer,6222
Without profit single premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Life Assured,6209
Maximum Invest Plan,Policy Holder,6194
Other,Annuitant,6158
Maximum Invest Plan,Life Assured,6131
Capital Investment Bond v8,Life Assured,6130
Single life lifetime account policy without indexation option,Payer,6114
Joint life midas bond policy,Life Assured,6102
Lifetime Account Plus/Addition,Life Assured,6094
ISA,Life Assured,6094
Capital Investment Bond v8,Policy Holder,6065
Single life lifetime account policy without indexation option,Life Assured,6012
Single life lifetime account policy without indexation option,Policy Holder,6003
Level term assurance policy,Payer,5954
Retirement account (FSAVC) without indexation option,Payer,5954
Retirement account (FSAVC) without indexation option,Life Assured,5775
Unit Trust Purchase,Policy Holder,5735
Endowment Without Profit,Policy Holder,5733
Level term assurance policy,Policy Holder,5683
Permanent Health Ins,Policy Holder,5665
Single life endowment policy without profits,Payer,5560
Joint life midas bond policy,Policy Holder,5558
Single life endowment policy without profits,Policy Holder,5554
Personal Pension Plan,Policy Holder,5451
Personal Pension Plan,Life Assured,5451
FPB,Life Assured,5445
Single life endowment policy without profits,Life Assured,5440
FPB,Policy Holder,5402
Office Combined,Policy Holder,5401
Lifetime Account Plus - CIC,Life Assured,5371
Household Insurance - secure inventories add on to Home,Policy Holder,5368
Unit Trust Purchase,Life Assured,5356
Pension Additional Voluntary Contribution,Policy Holder,5203
Pension Additional Voluntary Contribution,Life Assured,5203
Permanent Health Ins,Life Assured,5172
Medical PPP,Policy Holder,5016
Medical PPP,Life Assured,5016
Personal Pension Single Premium,Life Assured,4998
Personal Pension Single Premium,Policy Holder,4998
Unit Linked Individual PHI - HOP Conversion,Life Assured,4997
Unit Linked Individual PHI - HOP Conversion,Policy Holder,4997
Locum Insurance,Policy Holder,4967
Temporary Annuity,Policy Holder,4958
Temporary Annuity,Life Assured,4940
with Option,Life Assured,4891
Flexible Savings Plan regular index linked premiums,Life Assured,4878
Flexible Savings Plan regular index linked premiums,Policy Holder,4873
with Option,Policy Holder,4869
Joint life lifetime account policy without indexation option,Policy Holder,4847
Joint life lifetime account policy without indexation option,Payer,4790
Locum Insurance,Life Assured,4747
Single premium pensionbuilder for self employed or employees not in an occupational pension scheme,Annuitant,4525
Medical PPP,Beneficiary,4513
ISR,Policy Holder,4483
Waiver of Premium Pension Retirement Account,Policy Holder,4439
Waiver of Premium Pension Retirement Account,Life Assured,4424
Group Scheme - Current Cost Scheme Level Benefit,Policy Holder,4413
Regular premium pensionbuilder for self employed or employees not in an occupational pension scheme,Policy Holder,4389
ISR,Life Assured,4307
Portfolio - UK and International - ISA,Policy Holder,4249
CI NQ Index Linked(5 year stand alone with option),Life Assured,4220
CI NQ Index Linked(5 year stand alone with option),Policy Holder,4220
Other,Beneficiary,4140
Level term assurance policy,Life Assured,4107
Critical Ill. Term,Policy Holder,4084
Joint life midas bond policy,Payer,4064
ISA Regular,Life Assured,4008
Unit Linked House Officer Plan,Policy Holder,4008
ISA Regular,Policy Holder,4008
Unit Linked House Officer Plan,Life Assured,4008
Critical Ill. Term,Life Assured,3997
Single premium joint life endowment policy without profits,Life Assured,3974
Index Related Term - not Single Premium,Life Assured,3926
Index Related Term - not Single Premium,Policy Holder,3907
Joint life mortgage protection without profits,Policy Holder,3866
Pension level term assurance policy,Payer,3864
Pension level term assurance policy,Policy Holder,3773
Newly Qualified Protector (With Options) 1999,Life Assured,3653
Newly Qualified Protector (With Options) 1999,Policy Holder,3653
Index Linked House Officers Plan (with option),Policy Holder,3620
Wesleyan Flexible Savings Plan,Life Assured,3620
Index Linked House Officers Plan (with option),Life Assured,3620
Wesleyan Flexible Savings Plan,Policy Holder,3619
With Profit Mini ISA,Policy Holder,3551
With Profit Mini ISA,Life Assured,3551
NP Self Employed Pensions,Policy Holder,3466
Capital Investment Bond v4,Life Assured,3462
NP Self Employed Pensions,Life Assured,3455
Pension level term assurance policy,Life Assured,3429
Capital Investment Bond v4,Policy Holder,3379
Mortgage Protection - Non Profit,Life Assured,3377
Lifetime Account Plus - Combined,Policy Holder,3321
Personal pension single premium,Beneficiary,3295
PPP Regular premium,Policy Holder,3251
Group Scheme Index Linked Benefit,Life Assured,3234
Capital Investment Bond v5,Life Assured,3136
Legal Fees Insurance,Policy Holder,3127
Capital Investment Bond v5,Policy Holder,3090
PPP Regular premium,Life Assured,3026
Mortgage Protection - Non Profit,Policy Holder,2970
Joint life mortgage protection without profits,Life Assured,2946
Personal Pension Plan with Waiver,Life Assured,2910
Personal Pension Plan with Waiver,Policy Holder,2910
Lifetime Account Plus - Combined,Life Assured,2898
Stakeholder pension regular premium,Policy Holder,2888
Stakeholder pension regular premium,Life Assured,2888
Wesleyan PPP,Beneficiary,2876
Level Term Assurance NP,Policy Holder,2839
Level Term Assurance NP,Life Assured,2764
Sick - Pay Insurance,Policy Holder,2751
Joint life mortgage protection without profits,Payer,2741
Mortgage Protection,Life Assured,2735
FPB Index linked,Life Assured,2710
LAP-MSS,Life Assured,2696
LAP-MSS,Policy Holder,2694
Mortgage Protection,Policy Holder,2626
Combined Endowment Assurance with Waiver,Policy Holder,2621
Combined Endowment Assurance with Waiver,Life Assured,2621
FPB Index linked,Policy Holder,2592
Single premium pension transfer plan policy,Annuitant,2408
Single premium joint life endowment policy without profits,Policy Holder,2392
Retirement Account - Personal Pension,Authorised Representative,2380
FSAVC,Policy Holder,2362
Stocks and Shares ISA (Direct Subsequent),Policy Holder,2290
Stocks and Shares ISA (Direct Subsequent),Life Assured,2290
Retirement Account - Personal Pension,Beneficiary,2287
Single premium pensionbuilder for self employed or employees not in an occupational pension scheme,Policy Holder,2283
PPP Single Cont,Policy Holder,2277
Select With Profit single premium bond,Life Assured,2265
Select With Profit single premium bond,Policy Holder,2262
FSAVC,Life Assured,2237
Single premium joint life endowment policy without profits,Payer,2235
Select WP Bond,Life Assured,2226
Select WP Bond,Policy Holder,2223
PPP Single Cont,Life Assured,2208
Lifetime Account Index Linked*,Life Assured,2161
Free Standing AVC regular premium,Life Assured,2143
Free Standing AVC regular premium,Policy Holder,2143
House Officers Plan (with option),Policy Holder,2136
House Officers Plan (with option),Life Assured,2136
With Profit Maxi ISA,Policy Holder,2103
With Profit Maxi ISA,Life Assured,2102
Joint life low start low cost endowment,Life Assured,2047
Stakeholder,Policy Holder,2043
"Joint life, low cost endowment",Associated With,2001
Stakeholder Pension Single,Life Assured,1979
" WFS Stakeholder PP",Life Assured,1979
Stakeholder Pension Single,Policy Holder,1979
" WFS Stakeholder PP",Policy Holder,1979
"Joint life, low cost endowment",Assignee,1971
Capital Investment Bond V3,Life Assured,1954
With profit regular premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Payer,1934
Capital Investment Bond V3,Policy Holder,1928
LAP - Wesleyan,Life Assured,1923
With profit regular premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Life Assured,1914
Stakeholder,Life Assured,1912
LAP - Wesleyan,Policy Holder,1904
WP Pensions (Paid Up),Policy Holder,1897
WP Pensions (Paid Up),Life Assured,1893
Endowment,Policy Holder,1882
Fixed Term Savings Plan (regular premiums only),Life Assured,1848
Fixed Term Savings Plan (regular premiums only),Policy Holder,1848
Lifetime Account Index Linked*,Policy Holder,1827
Friendly Soc Plan,Policy Holder,1811
Low Cost Endowment With Profits,Assignee,1800
SEP Temporary Assurance,Policy Holder,1795
Endowment,Life Assured,1788
SEP Temporary Assurance,Life Assured,1783
With Profit Bond,Policy Holder,1767
WP Self Employed Pensions,Policy Holder,1763
WP Self Employed Pensions,Life Assured,1754
Pension Index Linked with Waiver*,Policy Holder,1750
Pension Index Linked with Waiver*,Life Assured,1750
Low Start Savings,Policy Holder,1747
Low Start Savings,Life Assured,1738
Low Start Low Cost Endowment With Profits,Life Assured,1684
Lifetime Account*,Life Assured,1681
With Profit Bond,Life Assured,1663
AVC Plan,Life Assured,1649
AVC Plan,Policy Holder,1649
Miscellany,Policy Holder,1645
Select Investment Bond,Beneficiary,1636
Whole Life Non Profit,Policy Holder,1589
Whole Life Non Profit,Life Assured,1583
"Single life, whole life policy with profits",Payer,1580
Personal Pension Plan v8 (Adviser),Life Assured,1559
Personal Pension Plan v8 (Adviser),Policy Holder,1559
"Single life, whole life policy with profits",Policy Holder,1549
"Single life, whole life policy with profits",Life Assured,1547
PHI & Endowment,Policy Holder,1534
PHI & Endowment,Life Assured,1534
Stakeholder pension regular premium,Beneficiary,1510
Flexible Savings Plan v8 (Adviser),Life Assured,1462
Flexible Savings Plan v8 (Adviser),Policy Holder,1457
Endowment With Profit With Waiver*,Policy Holder,1435
Endowment With Profit With Waiver*,Life Assured,1435
Vested Pension Last survivor,Life Assured,1432
WP Pensions,Policy Holder,1407
Lifetime Plus,Associated With,1406
WP Pensions,Life Assured,1401
Individual Pension Plan,Life Assured,1396
Critical Illness Policy,Payer,1387
Wesleyan PPP,Payer,1387
Individual Pension Plan,Policy Holder,1383
Waiver of Premium Lifetime Account,Policy Holder,1382
Low Start LCE,Policy Holder,1378
Lifetime Account*,Policy Holder,1363
"Joint life, low cost endowment",Solicitor,1359
Low Cost Endowment With Profits,Authorised Representative,1353
Waiver of Premium Lifetime Account,Life Assured,1345
Single life mortgage protection policy without profits,Payer,1342
Without profit single premium self employed pension with benefits expressed in terms of pension,Annuitant,1337
"Single life, whole life policy without profits",Payer,1336
Low Start LCE,Life Assured,1336
Single life mortgage protection policy without profits,Policy Holder,1320
"Single life, whole life policy without profits",Life Assured,1311
PHI Reducing Benefit,Life Assured,1311
PHI Reducing Benefit,Policy Holder,1311
"Single life, whole life policy without profits",Policy Holder,1310
Critical Illness Policy,Policy Holder,1310
Maximum Investment Plan - Escalating,Life Assured,1296
Low Cost Endowment With Profits,Absolute Assignee,1267
Maximum Investment Plan - Escalating,Policy Holder,1259
"Single premium, single life whole life without profits",Life Assured,1248
"Single premium, single life whole life without profits",Payer,1248
Flexible Savings Plan v8 (Adviser),Trustee - Wesleyan (Flexible),1243
"Single premium, single life whole life without profits",Policy Holder,1235
"Joint life, low cost endowment",Absolute Assignee,1215
PEP Saving,Policy Holder,1179
Critical Illness Policy,Life Assured,1165
PEP Saving,Life Assured,1161
Endowment Assurance,Life Assured,1136
Staffcare Plan,Policy Holder,1131
Endowment Assurance,Policy Holder,1124
Joint life low start low cost endowment,Policy Holder,1112
Friendly Soc Plan,Life Assured,1102
MSS Fixed Term Savings Plan,Policy Holder,1072
MSS Fixed Term Savings Plan,Life Assured,1072
Joint life low start low cost endowment,Payer,1066
Group Scheme,Policy Holder,1065
Personal Pension Single Premium*,Life Assured,1057
Personal Pension Single Premium*,Policy Holder,1057
Select Investment Bond,Trustee,1033
Group Scheme,Life Assured,1027
Lifetime AccountIndex Linked with Waiver,Life Assured,1021
Lifetime AccountIndex Linked with Waiver,Policy Holder,1021
Inspection Contract,Policy Holder,1020
Distribution Bond,Policy Holder,1016
Capital Invest. Bond,Beneficiary,991
Joint life mortgage protection with endowment without profits,Life Assured,986
Distribution Bond,Life Assured,976
Flexible Savings Plan regular index linked premiums,Trustee - Wesleyan (Flexible),965
Lifetime Account - Life Cover with TPD,Life Assured,955
Single premium pensionbuilder for self employed or employees not in an occupational pension scheme,Life Assured,950
Single premium pensionbuilder for self employed or employees not in an occupational pension scheme,Payer,949
CI Stand alone Index Linked,Life Assured,948
Low Start Low Cost Endowment With Profits,Policy Holder,947
Medical PPP,Payer,944
CI Stand alone Index Linked,Policy Holder,941
Single life mortgage protection with endowment without profits,Payer,940
Single life mortgage protection with endowment without profits,Policy Holder,936
Single life mortgage protection with endowment without profits,Life Assured,934
Single life endowment policy with profits,Associated With,929
Term Assurance,Associated With,929
Other,Payer,925
Lifetime Account Plus - Investment,Trustee,924
Stakeholder pension single premium,Life Assured,920
Stakeholder pension single premium,Policy Holder,920
Motorcycle,Policy Holder,919
Pension Term Assur.,Policy Holder,913
Pension Term Assur.,Life Assured,903
Income Shield,Life Assured,897
Income Shield,Policy Holder,897
Unit Trust,Policy Holder,889
Investment Trust,Policy Holder,872
Regular premium pensionbuilder for self employed or employees not in an occupational pension scheme,Payer,866
Regular premium pensionbuilder for self employed or employees not in an occupational pension scheme,Life Assured,856
" WFS Stakeholder PP",Beneficiary,842
Stakeholder Pension Single,Beneficiary,842
Investment Trust,Life Assured,839
Retirement account ( add. Contributions) with indexation option included,Beneficiary,829
Single premium pension transfer plan policy,Policy Holder,824
"Single life, low cost endowment",Assignee,812
Whole Life With Profits,Policy Holder,810
Single life mortgage protection policy without profits,Life Assured,809
Personal pension transfer in,Life Assured,802
Personal pension transfer in,Policy Holder,802
Personal pension v5 regular premium,Policy Holder,799
Personal pension v5 regular premium,Life Assured,799
Term index linked,Life Assured,792
Flexible Savings Plan,Life Assured,792
Portfolio - UK and International - Unit Trust,Policy Holder,784
Medical Career Protector (Already Qualified),Life Assured,779
Medical Career Protector (Already Qualified),Policy Holder,779
Flexible Savings Plan,Policy Holder,777
Term index linked,Policy Holder,777
Lifetime Account Plus - Life Cover,Trustee,768
Retirement account ( protected rights),IFA,754
Retirement Account - APPS,Authorised Representative,753
Whole Life With Profits,Life Assured,741
Maximum Investment Plan - Level,Life Assured,737
"Single premium, single life endowment with profits or paid-up policy",Trustee,723
"Single premium, single life endowment with profits or paid-up policy",Associated With,719
Maximum Investment Plan - Level,Policy Holder,714
Retirement account ( add. Contributions) without indexation option,IFA,710
Midas Bond,Trustee,700
"Single premium, single life endowment with profits or paid-up policy",Beneficiary,694
Guaranteed Growth Bond,Trustee,684
Medical Select Bond,Life Assured,683
Stakeholder Pension Regular,Life Assured,683
"Single life, low cost endowment",Associated With,677
Flexible Savings Plan regular index linked premiums,Beneficiary,675
CI Term Assurance Index Linked,Life Assured,675
CI Term Assurance Index Linked,Policy Holder,667
Retirement account ( add. Contributions) with indexation option included,IFA,654
Shopkeepers,Policy Holder,648
" Wesleyan GPP",Life Assured,647
" Wesleyan GPP",Policy Holder,647
With profit single premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Annuitant,641
Retirement account ( add. Contributions) without indexation option,Beneficiary,635
Lifetime Account - Life Cover with TPD,Policy Holder,625
Guaranteed income bond 100%,Trustee,625
Wesleyan UK Balanced ISA Portfolio,Trustee,625
Mortgage Protection with Endowment - Non Profit,Life Assured,624
Wesleyan UK Balanced ISA Portfolio,Solicitor,610
Guaranteed income bond 100%,Solicitor,610
Capital Investment Bond,Policy Holder,607
Index Linked Young Dentists Plan (with option),Life Assured,607
Capital Investment Bond,Life Assured,607
Index Linked Young Dentists Plan (with option),Policy Holder,607
Guaranteed income bond 100%,Beneficiary,606
Wesleyan UK Balanced ISA Portfolio,Beneficiary,606
" WFS Stakeholder PP",Payer,603
Stakeholder Pension Single,Payer,603
Unit Trust Savings,Policy Holder,603
Pension with Waiver,Life Assured,599
Pension with Waiver,Policy Holder,599
Level term assurance policy with conversion option,Payer,596
Select Bond,Life Assured,593
Individual Locum,Life Assured,593
Select Bond,Policy Holder,588
Individual Locum,Policy Holder,588
Pension Regular,Policy Holder,586
Executive Pension,Policy Holder,586
Group Scheme Index Linked Benefit,Policy Holder,585
Lifetime Plus,Trustee,584
Vested Pension Last survivor,Policy Holder,583
Level term assurance policy with conversion option,Policy Holder,578
"Single premium, single life endowment with profits or paid-up policy",Claimant,577
Level term assurance policy with conversion option,Life Assured,573
Medical Select Bond,Policy Holder,568
Stakeholder Pension Regular,Policy Holder,568
Wesleyan Fixed Term Savings Plan,Life Assured,559
Wesleyan Fixed Term Savings Plan,Policy Holder,558
Executive Pension,Life Assured,556
Pension Regular,Life Assured,556
Guaranteed income bond 90%,Claimant,552
Endowment With Profit,Authorised Representative,551
Critical Illness,Policy Holder,549
Cash Account,Policy Holder,544
Critical Illness,Life Assured,541
Without profit regular premium self employed pension with benefits expressed in terms of pension,Annuitant,537
ISA Transfer,Life Assured,535
Personal Pension Regular Premium ? Iindex Linked**,Life Assured,535
ISA Transfer,Policy Holder,535
Personal Pension Regular Premium ? Iindex Linked**,Policy Holder,535
Guaranteed Growth Bond,Authorised Representative,534
Guaranteed income bond 90%,Solicitor,533
Unit Trust Savings,Life Assured,511
Convertible Term,Policy Holder,503
Term Assurance,Assignee,502
Single life endowment policy with profits,Assignee,502
Single life midas bond policy,Trustee,501
"Single premium, single life endowment with profits or paid-up policy",Solicitor,499
Compulsory Annuity,Policy Holder,496
Joint life mortgage protection with endowment without profits,Payer,496
Joint life mortgage protection with endowment without profits,Policy Holder,495
PHI Adaptable Income Plan,Policy Holder,494
Convertible Term,Life Assured,494
PHI Adaptable Income Plan,Life Assured,494
Capital Invest. Bond,Trustee,493
Flexible Savings Plan v5 regular index linked premiums,Life Assured,490
Flexible Savings Plan v5 regular index linked premiums,Policy Holder,490
Reassurance = OL CC Scheme Growth Benefit,Life Assured,489
Reassurance = OL CC Scheme Growth Benefit,Policy Holder,489
Guaranteed Income Bond (100%),Trustee,487
"Single life, low cost endowment",Solicitor,484
NULL,Successor,482
Without profit single premium self employed pension with benefits expressed in terms of pension,Policy Holder,476
Compulsory Annuity,Life Assured,475
Lifetime Account Plus - Investment,Beneficiary,468
Lifetime Account Plus - Life Cover,Beneficiary,468
Endowment With Profit,Absolute Assignee,464
Unit Linked Young Dentist Plan PHI,Policy Holder,458
Unit Linked Young Dentist Plan PHI,Life Assured,458
Stakeholder pension single premium,Beneficiary,457
"Joint life, low cost endowment",IFA,451
Joint life endowment policy with profits,Associated With,447
Guaranteed Growth Bond,Beneficiary,436
Rota Whole Life (Minster),Policy Holder,436
Term Assurance,IFA,433
Wesleyan Capital Investment Bond,Beneficiary,433
Single life endowment policy with profits,IFA,433
Guaranteed Income Bond (90%),Authorised Representative,431
Rota Whole Life (Minster),Life Assured,430
Flexible Savings Plan v5 regular index linked premiums,Trustee - Wesleyan (Flexible),425
Terrorism,Policy Holder,421
Personal Pension Regular Premium*,Life Assured,421
Personal Pension Regular Premium*,Policy Holder,421
"Single premium, single life endowment with profits or paid-up policy",IFA,418
Select FSAVC - Regular Premium,Policy Holder,416
Select FSAVC - Regular Premium,Life Assured,416
Personal Pension Plan v8 (Adviser),Beneficiary,413
Mortgage Protection with Endowment - Non Profit,Policy Holder,411
Guaranteed income bond 100%,Claimant,409
Wesleyan UK Balanced ISA Portfolio,Claimant,409
Wesleyan Capital Investment Bond,Trustee,408
Unit linked Individual level PHI,Life Assured,401
Unit linked Individual level PHI,Policy Holder,401
Revised Young Dentists Plan (with option),Life Assured,396
Retirement account ( add. Contributions) without indexation option,Associated With,396
Revised Young Dentists Plan (with option),Policy Holder,396
Waiver of Premium Pension Retirement Account,Beneficiary,395
Simultaneous Company,Policy Holder,391
"Joint life, whole life policy without profits",Life Assured,387
Simultaneous Company,Life Assured,385
Midas Bond,Authorised Representative,383
MSS Flexible Savings Plan,Life Assured,382
Single life equity endowment policy with profits,Payer,382
MSS Flexible Savings Plan,Policy Holder,381
Guaranteed Income Bond (100%),Beneficiary,379
Single life equity endowment policy with profits,Policy Holder,378
MSS Stakeholder PP,Policy Holder,377
Single life equity endowment policy with profits,Life Assured,377
MSS Stakeholder PP,Life Assured,377
Lifetime Account - Investment,Authorised Representative,375
Reassurance - OL CC Scheme Level Benefit,Policy Holder,371
Capital Investment Bond v8,Trustee - Wesleyan (Flexible),371
Reassurance - OL CC Scheme Level Benefit,Life Assured,371
Increasing Term Assurance,Life Assured,371
Increasing Term Assurance,Policy Holder,371
Single life low start low cost endowment,Payer,367
Single life low start low cost endowment,Policy Holder,367
